id,product_id,component_type,max_scoops,base_price,price_per_scoop,is_available,position
1,379,SABOR,,,,t,1
2,380,SABOR,,,,t,2
3,381,SABOR,,,,t,3
4,382,SABOR,,,,t,4
5,383,SABOR,,,,t,5
6,384,SABOR,,,,t,6
7,385,SABOR,,,,t,7
8,386,SABOR,,,,t,8
9,387,SABOR,,,,t,9
10,388,SABOR,,,,t,10
11,389,SABOR,,,,t,11
12,390,SABOR,,,,t,12
13,391,SABOR,,,,t,13
14,392,SABOR,,,,t,14
15,393,RECIPIENTE,1,45.00,,t,1
16,394,RECIPIENTE,2,80.00,,t,2
17,395,RECIPIENTE,3,110.00,,t,3
18,396,RECIPIENTE,1,45.00,,t,4
19,397,RECIPIENTE,2,85.00,,t,5
20,398,RECIPIENTE,2,95.00,,t,6
21,399,RECIPIENTE,3,140.00,,t,7
22,400,EXTRA,,,,t,1
23,401,EXTRA,,,,t,2
24,402,EXTRA,,,,t,3
25,403,EXTRA,,,,t,4
26,404,EXTRA,,,,t,5
27,405,EXTRA,,,,t,6
28,406,BEBIDA_BASE,,,,t,1
29,407,BEBIDA_BASE,,,,t,3
